,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,CHEMBL388978,0.3,nM,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,9.522878745280336,466.200490692,6,2,4.354000000000003,True
1,CHEMBL3597011,1.0,nM,CN1CCc2cc(-c3cnc4[nH]cc(C(=O)c5ccccc5Cl)c4c3)ccc2C1,9.0,401.12948994,3,1,5.102200000000004,True
4,CHEMBL3596932,4.5,nM,CN1CCc2ccc(-c3cnc4[nH]cc(C(=O)c5ccccc5Cl)c4c3)cc2C1,8.346787486224656,401.12948994,3,1,5.102200000000004,True
5,CHEMBL3609372,5.2,nM,CC(C)NC(=O)N1CC[C@H](NC2=Nc3cc(F)ccc3N(CC(F)F)c3ccc(Cl)cc32)C1,8.2839966563652,479.16997276000006,4,2,5.055900000000005,True
6,CHEMBL3596930,5.8,nM,COc1nn(C)cc1-c1cnc2[nH]cc(C(=O)c3cc(CCO)ccc3Cl)c2c1,8.236572006437063,410.114568148,6,2,3.3912000000000013,True
7,CHEMBL3596915,7.5,nM,O=C(c1ccc(Cl)cc1Cl)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,8.1249387366083,439.09666558800006,5,2,4.888700000000004,True
8,CHEMBL3596919,7.6,nM,O=C(c1ccc(CO)cc1Cl)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,8.119186407719209,435.14620262400007,6,3,3.7276000000000016,True
11,CHEMBL4758500,9.8,nM,Cc1cccn(-c2ccc(-c3ccc4c(C(=O)NCc5ccncc5)n[nH]c4c3)c(Cl)c2)c1=O,8.008773924307505,469.13055256,5,2,4.667620000000003,True
12,CHEMBL3596922,12.0,nM,CN1CCC(n2cc(-c3cnc4[nH]cc(C(=O)c5ccc(CO)cc5Cl)c4c3)cn2)CC1,7.920818753952375,449.161852688,6,2,4.0698000000000025,True
13,CHEMBL3596914,13.0,nM,O=C(c1ccc(F)cc1Cl)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,7.886056647693163,423.1262161280001,5,2,4.374400000000002,True
14,CHEMBL3128043,13.7,nM,Cc1nc(Nc2n[nH]c3c2CN(C(=O)N[C@H](CN(C)C)c2ccccc2)C3(C)C)c2sccc2n1,7.863279432843593,490.22632858,7,3,4.529620000000004,True
15,CHEMBL3596927,14.0,nM,COc1nn(C)cc1-c1cnc2[nH]cc(C(=O)c3ccc(COc4ccccn4)cc3Cl)c2c1,7.853871964321762,473.12546718,7,1,4.830400000000004,True
16,CHEMBL4794004,16.0,nM,Cc1cccn(-c2ccc(-c3ccc4c(C(=O)Nc5ccncc5)n[nH]c4c3)c(Cl)c2)c1=O,7.795880017344075,455.114902496,5,2,4.989920000000004,True
17,CHEMBL4742230,16.0,nM,CNC(=O)c1n[nH]c2cc(-c3ccc(-n4cccc(C)c4=O)cc3Cl)ccc12,7.795880017344075,392.104003464,4,2,3.7022200000000014,True
18,CHEMBL3596899,18.0,nM,O=C(c1ccccc1Cl)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,7.744727494896693,405.13563794,5,2,4.235300000000002,True
19,CHEMBL3609371,18.0,nM,CCN1c2ccc(F)cc2N=C(N[C@H]2CCN(C(=O)NC(C)(C)C)C2)c2cc(Cl)ccc21,7.744727494896693,457.204466448,4,2,5.2008000000000045,True
20,CHEMBL3596920,21.0,nM,COCc1ccc(C(=O)c2c[nH]c3ncc(-c4cnn(C5CCNCC5)c4)cc23)c(Cl)c1,7.67778070526608,449.161852688,6,2,4.381700000000003,True
21,CHEMBL4787358,21.0,nM,Cc1cccn(-c2ccc(-c3ccc4c(C(=O)NCCc5ccncc5)n[nH]c4c3)c(Cl)c2)c1=O,7.67778070526608,483.146202624,5,2,4.710120000000003,True
22,CHEMBL4784979,22.0,nM,Cc1cccn(-c2ccc(-c3ccc4c(C(=O)NCC5CCN(C)CC5)n[nH]c4c3)c(Cl)c2)c1=O,7.657577319177793,489.193152816,5,2,4.414220000000003,True
